Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Metafield: purelane.badge [single_line_text_field],Metafield: purelane.rating [number_decimal],Metafield: purelane.review_count [number_integer],Metafield: purelane.components [list.product_reference],Metafield: purelane.component_labels [list.single_line_text_field],Metafield: purelane.bundle_size [number_integer],Metafield: purelane.features [list.single_line_text_field]
purelane-tap-cleaner-limescale-remover,Tap Cleaner & Limescale Remover,<p>Melts away hard water stains and limescale on taps and fittings.</p>,Purelane,Product,Product,"cleaner,bathroom,bestseller",TRUE,Size,Default,PUR-TAP-500,500,shopify,150,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Tap cleaner and limescale remover bottle,FALSE,Tap Cleaner & Limescale Remover,Melts hard water stains and limescale.,active,Best seller,4.8,237,,,,
purelane-kitchen-cleaner-foaming,"Kitchen Cleaner, Foaming","<p>Cuts through grease instantly with a foaming, plant-based formula.</p>",Purelane,Product,Product,"cleaner,kitchen,bestseller",TRUE,Size,Default,PUR-KIT-500,500,shopify,140,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Foaming kitchen cleaner spray,FALSE,"Kitchen Cleaner, Foaming",Foaming plant-based kitchen cleaner.,active,Best seller,4.8,254,,,,
purelane-copper-bronze-brass-cleaner,"Copper, Bronze & Brass Cleaner","<p>Restores shine to copper, bronze and brass without harsh chemicals.</p>",Purelane,Product,Product,"cleaner,metal,top-rated",TRUE,Size,Default,PUR-CBB-300,300,shopify,0,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Copper bronze and brass cleaner pump bottle,FALSE,"Copper, Bronze & Brass Cleaner",Plant-based metal cleaner and polish.,active,Top rated,4.8,231,,,,
purelane-washing-machine-cleaner-descaler,Washing Machine Cleaner & Descaler,<p>8 tablets that deep-clean and descale your washing machine drum.</p>,Purelane,Product,Product,"cleaner,laundry,new",TRUE,Size,Default,PUR-WMD-008,200,shopify,90,deny,manual,200.0,299.0,TRUE,TRUE,,,,FALSE,Washing Machine Cleaner & Descaler,Washing machine cleaner and descaler tablets.,active,New,4.8,183,,,,
purelane-dishwash-gel-organic,"Dishwash Gel, Organic",<p>An organic dishwash gel that cuts grease and leaves dishes squeaky clean.</p>,Purelane,Product,Product,"cleaner,dishwash",TRUE,Size,Default,PUR-DSH-750,750,shopify,110,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Organic dishwash liquid gel bottle,FALSE,"Dishwash Gel, Organic",Organic dishwash gel for grease-free dishes.,active,,4.6,96,,,,
purelane-floor-cleaner-herbal,"Floor Cleaner, Natural Herbal","<p>A natural herbal floor cleaner that kills 99.9% of germs, safe on tiles and wood.</p>",Purelane,Product,Product,"cleaner,floor,herbal",TRUE,Size,Default,PUR-FLR-1000,1000,shopify,100,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Natural herbal floor cleaner bottle,FALSE,"Floor Cleaner, Natural Herbal",Herbal floor cleaner that kills 99.9 percent of germs.,active,,4.5,88,,,,
purelane-toilet-cleaner-non-toxic,"Toilet Cleaner, Non-Toxic",<p>A non-toxic toilet cleaner that fights limescale and kills 99.9% of germs.</p>,Purelane,Product,Product,"cleaner,toilet,bathroom",TRUE,Size,Default,PUR-TLT-500,500,shopify,120,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Non-toxic toilet cleaner bottle,FALSE,"Toilet Cleaner, Non-Toxic",Non-toxic toilet cleaner that fights limescale.,active,,4.5,74,,,,
purelane-handwash-gentle-hydrating,"Handwash, Gentle Hydrating Liquid",<p>A gentle hydrating liquid handwash for everyday use.</p>,Purelane,Product,Product,"handwash,skin",TRUE,Size,Default,PUR-HND-300,300,shopify,130,deny,manual,166.0,249.0,TRUE,TRUE,placeholder.jpg,1,Gentle hydrating liquid handwash bottle,FALSE,"Handwash, Gentle Hydrating Liquid",Gentle hydrating handwash for daily use.,active,,4.4,61,,,,
purelane-laundry-detergent-non-toxic,"Laundry Detergent, Non-Toxic",<p>Removes tough stains and odour without harsh chemicals.</p>,Purelane,Product,Product,"laundry,detergent",TRUE,Size,Default,PUR-LDT-1000,1000,shopify,95,deny,manual,233.0,349.0,TRUE,TRUE,placeholder.jpg,1,Non-toxic laundry detergent pack,FALSE,"Laundry Detergent, Non-Toxic",Non-toxic laundry detergent for tough stains.,active,,4.5,52,,,,
purelane-fabric-conditioner,Fabric Conditioner,<p>Softens and freshens every wash.</p>,Purelane,Product,Product,"laundry,fabric-care",TRUE,Size,Default,PUR-FBC-1000,1000,shopify,85,deny,manual,200.0,299.0,TRUE,TRUE,placeholder.jpg,1,Fabric conditioner bottle,FALSE,Fabric Conditioner,Softens and freshens every wash.,active,,4.3,39,,,,
